path	selected_blob	monorepo_blob	successor_blob	disposition
crates/jeryu-core/src/engine/storage/migrations.rs	d0fafe853840e9f6f39efd547c7a8290a99210c6	d0fafe853840e9f6f39efd547c7a8290a99210c6	6c6e8a2ad1b20ea8e742d0a3a31752077fdebdfa	import-successor-source
crates/jeryu-core/src/engine/tests.rs	0d5a2539dc19091538e6aeeb255fd4e87f52d9c6	0d5a2539dc19091538e6aeeb255fd4e87f52d9c6	dd23f1201138e2e3b49f9ad051991ea137819a95	import-successor-source
crates/jeryu-core/src/engine/webhooks.rs	821c630fd7e3f2c596a58e60c5491a2f6d3b9723	821c630fd7e3f2c596a58e60c5491a2f6d3b9723	ee461f1738ebdc081298813d3e443476326a7573	import-successor-source
crates/jeryu-core/src/engine/writer.rs	absent	absent	f9057ff7cca0e6f97a8b42ad822b468215536377	import-successor-source
crates/jeryu-core/src/errors.rs	30d4512636c0e0297e15e5322a00e63aac6409ef	30d4512636c0e0297e15e5322a00e63aac6409ef	e4678976af95731cc62346f46a25fb9e3a27bad0	import-successor-source
crates/jeryu-core/src/lib.rs	daab900bd20c189f33f3e71610859aa9f1c90645	daab900bd20c189f33f3e71610859aa9f1c90645	db482e6bb99086ff9d4b7fec0d18bc72e4746608	import-successor-source
crates/jeryu-core/src/model/pull_requests.rs	60cf891a5fe30c13228beb181bc14d3b8db151ce	60cf891a5fe30c13228beb181bc14d3b8db151ce	dd718828e634b9fe16e0aab44844af815a423681	import-successor-source
crates/jeryu-core/tests/account_lifecycle.rs	60285e0bf1ea5434372b247739ea4d932eedb577	60285e0bf1ea5434372b247739ea4d932eedb577	d50fc5c518c7431f704f5da3260f82501dc73b02	import-successor-source
crates/jeryu-core/tests/domain_crud.rs	26fa04a5d405a44e39766f47e7fd77e09d491c60	863fde3111200c377aeb9d31e28a29b3863d97e0	863fde3111200c377aeb9d31e28a29b3863d97e0	already-equivalent
crates/jeryu-core/tests/pull_request_lifecycle.rs	0144600b86e11dc97dcfcc5130d0c8263b02f634	0144600b86e11dc97dcfcc5130d0c8263b02f634	7f49c0b03918df1babb021e943997d7b8eddbded	import-successor-source
crates/jeryu-core/tests/repository_deletion.rs	7388b7091bb1e01d1400c5ce461029e2c5b89331	7388b7091bb1e01d1400c5ce461029e2c5b89331	4ead125c6a4baca23c4c529d8fdf0770a8b7954d	import-successor-source
crates/jeryu-core/tests/repository_transfer.rs	9351b4e852af15c4d9839c2ee6b25e80a3ba7615	9351b4e852af15c4d9839c2ee6b25e80a3ba7615	25678caff5b70f9932615523379666060601b0ea	import-successor-source
crates/jeryu-core/tests/repository_transfer_failures.rs	1fe021908010ed534936d19c535d741779e45942	1fe021908010ed534936d19c535d741779e45942	7c21725b33ed95e3b49ee80f3389ca5ae4689efe	import-successor-source
crates/jeryu-core/tests/review_semantics.rs	absent	absent	a41c5f4f726e5e08f20abf07ccde9c6706157f10	import-successor-source
crates/jeryu-core/tests/sqlite_persistence.rs	e83f569043cf280d5ae5320cd17397d21a679b3b	6fab4e7eb0bb56136ba5ca2926900ada11baef9f	3003df5b4e4e74498a2d7a7032a7cd82d2cc88a6	reviewed-visibility-and-runtime-reconciliation
crates/jeryu-core/tests/support/mod.rs	absent	absent	3b63da6fcc243c9f7f30e8d62656ffcbfa842e9e	import-successor-source
crates/jeryu-core/tests/writer_runtime.rs	absent	absent	f069f5a13f3f8184be4ea2d25e62c9da8b2f39bf	import-successor-source
crates/jeryu-readmodel/src/contracts/mod.rs	291962d3712dad86f5025e541796e9d36e3083c2	291962d3712dad86f5025e541796e9d36e3083c2	647297fcaebc262ee65efa08b711dd8432483dfa	import-successor-source
crates/jeryu-readmodel/src/contracts/pulls.rs	cfec3b4809caf8dbfe404f7971be0ee8e0ab103e	cfec3b4809caf8dbfe404f7971be0ee8e0ab103e	6dd66ae7b7a51e970bc02bc95b7eae196d434211	import-successor-source
crates/jeryu-readmodel/src/contracts/review.rs	1ddd0e4f746eb5afd73d7d78772352b874ca3b98	1ddd0e4f746eb5afd73d7d78772352b874ca3b98	ea01e3f8fc352a31622fb526d8a466247a52ae32	import-successor-source
db/AGENTS.md	00f90a3ac36eb62284194b60687302900045c292	00f90a3ac36eb62284194b60687302900045c292	cd8300552414bc98dfc695954a71c0b86f1026ee	import-successor-source
db/constraints.md	9054d174cc448b74056a51a6199ea37cdfc2f980	9054d174cc448b74056a51a6199ea37cdfc2f980	1f2f6b878757cac13d435996b3e5a2028968cb74	import-successor-source
db/migrations/0012_review_dismissal_target.meta.toml	absent	absent	32fd811b99518d153b046f451a3b42bd0260ad30	import-successor-source
db/migrations/0012_review_dismissal_target.sql	absent	absent	a8fbd495aae14949f186c205b180c760e5cfc2e5	import-successor-source
db/rollbacks/0012_review_dismissal_target.sql	absent	absent	8b951e2820f4446b4c2f71251538764a12b76b4d	import-successor-source
docs/review-semantics.md	absent	absent	888e583a07a939b57a1ee5784d5f8a8714270e90	import-successor-source
ops/ci/pr-ci.sh	0c909b0515654f1d18492dda9bd449ce1742b905	02720de33a7c91285e9e14fdb7fec3e0fc6634cf	495317252b58d10426ffe43f38f411655717913d	retain-reviewed-monorepo-security-successor
ops/ci/security.sh	ea2b9b43013481b93f0ea5365a92a64cfbea478e	fa91825d56e532a90df2ecd408ebf97addf761af	fa91825d56e532a90df2ecd408ebf97addf761af	already-equivalent
tools/security-lane.sh	absent	9b875190a664d69791451ca5efe14faf290738ab	9b875190a664d69791451ca5efe14faf290738ab	already-equivalent
